STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DP01,DP10,DSNW,EMSN,EMXP,PRCP,SNOW
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2016-04,7,5,,,1.05,2.35,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2016-05,11,7,,,1,5.1,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2016-06,10,9,,,1.17,5.2,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2016-07,11,8,,,0.87,2.96,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2016-08,12,6,,,3.77,6.21,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2016-09,13,7,,,4.64,8.86,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2016-10,3,2,0,0,4.9,6.02,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2016-11,3,2,0,0,0.51,0.99,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2016-12,13,7,,,1,4.43,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2017-01,10,5,,,1.61,5.98,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2017-02,6,3,,,0.85,1.69,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2017-03,10,7,,,1.02,3.57,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2017-04,7,4,,,5.33,9.3,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2017-05,12,8,,,1.43,4.94,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2017-06,14,6,,,2.85,5.15,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2017-07,16,11,,,1.46,6.72,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2017-08,10,6,,,0.65,1.74,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2017-09,7,3,,,4.4,5.12,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2017-10,4,2,0,0,1.55,1.83,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2017-11,5,3,0,0,0.59,1.11,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2017-12,10,5,,,1.73,4.19,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2018-01,6,4,,,1.35,2.97,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2018-02,8,3,,,0.76,1.33,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2018-03,8,6,,,1.35,3.69,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2018-04,6,4,0,0,1.79,3.38,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2018-05,11,7,,,1.08,3.49,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2018-06,10,9,,,1.43,4.61,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2018-07,14,11,,,3.53,7.1,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2018-08,11,9,,,1.33,4.29,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2018-09,11,9,,,3.1,9.73,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2018-10,11,5,,,2.31,4.2,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2018-11,14,6,,,2.82,7.02,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2018-12,17,13,,,1.95,7.9,
